At     509.26, Entity:    46,509.262,0, CreateEnd (Arrival) 
At     511.20, Entity:    47,511.205,0, CreateEnd (Arrival) 
At     513.35, Entity:    48,513.351,0, CreateEnd (Arrival) 
At     516.19, Entity:    43,498.451,0, ServeEnd 
At     516.19, Entity:    44,499.101,0, ServeBegin 
At     524.62, Entity:    44,499.101,0, ServeEnd 
At     524.62, Entity:    45,501.301,0, ServeBegin 
At     534.08, Entity:    45,501.301,0, ServeEnd 
At     534.08, Entity:    46,509.262,0, ServeBegin 
At     545.80, Entity:    46,509.262,0, ServeEnd 
At     545.80, Entity:    47,511.205,0, ServeBegin 
At     549.05, Entity:    49,549.05,0, CreateEnd (Arrival) 
At     554.97, Entity:    47,511.205,0, ServeEnd 
At     554.97, Entity:    48,513.351,0, ServeBegin 
At     559.80, Entity:    50,559.803,0, CreateEnd (Arrival) 
At     563.76, Entity:    48,513.351,0, ServeEnd 
At     563.76, Entity:    49,549.05,0, ServeBegin 
At     570.79, Entity:    51,570.791,0, CreateEnd (Arrival) 
At     575.23, Entity:    49,549.05,0, ServeEnd 
At     575.23, Entity:    50,559.803,0, ServeBegin 
At     578.63, Entity:    52,578.629,0, CreateEnd (Arrival) 
At     587.08, Entity:    50,559.803,0, ServeEnd 
At     587.08, Entity:    51,570.791,0, ServeBegin 
At     599.01, Entity:    51,570.791,0, ServeEnd 
At     599.01, Entity:    52,578.629,0, ServeBegin 
At     600.72, Entity:    53,600.72,0, CreateEnd (Arrival) 
At     601.09, Entity:    54,601.089,0, CreateEnd (Arrival) 
At     602.67, Entity:    55,602.667,0, CreateEnd (Arrival) 
At     604.80, Entity:    56,604.801,0, CreateEnd (Arrival) 
At     606.75, Entity:    57,606.751,0, CreateEnd (Arrival) 
At     609.05, Entity:    58,609.051,0, CreateEnd (Arrival) 
At     610.33, Entity:    52,578.629,0, ServeEnd 
At     610.33, Entity:    53,600.72,0, ServeBegin 
At     621.87, Entity:    53,600.72,0, ServeEnd 
At     621.87, Entity:    54,601.089,0, ServeBegin 
At     631.54, Entity:    59,631.538,0, CreateEnd (Arrival) 
At     631.83, Entity:    54,601.089,0, ServeEnd 
